383 misere(3,38) 4.020 3
403 misere(3,40) 4.020 3
437 misere(7,43) 4.020 0
503 misere(3,50) 4.020 2
124 misere(4,12) 4.020 2
444 misere(4,44) 4.020 5
498 misere(8,49) 4.030 1
446 misere(6,44) 4.030 3
159 misere(9,15) 4.030 4
528 misere(8,52) 4.030 0
496 misere(6,49) 4.040 4
476 misere(6,47) 4.040 3
441 misere(1,44) 4.040 2
573 misere(3,57) 4.040 3
440 misere(0,44) 4.040 4
490 misere(0,49) 4.040 4
543 misere(3,54) 4.050 3
428 misere(8,42) 4.050 4
459 misere(9,45) 4.050 0
510 misere(0,51) 4.050 0
469 misere(9,46) 4.070 0
202 misere(2,20) 4.070 4
504 misere(4,50) 4.080 1
486 misere(6,48) 4.080 1
482 misere(2,48) 4.080 3
461 misere(1,46) 4.080 2
417 misere(7,41) 4.090 2
500 misere(0,50) 4.090 3
515 misere(5,51) 4.090 2
549 misere(9,54) 4.090 3
533 misere(3,53) 4.100 2
538 misere(8,53) 4.100 4
565 misere(5,56) 4.100 2
561 misere(1,56) 4.100 3
397 misere(7,39) 4.100 4
203 misere(3,20) 4.110 2
502 misere(2,50) 4.110 4
453 misere(3,45) 4.110 0
456 misere(6,45) 4.110 1
595 misere(5,59) 4.120 1
591 misere(1,59) 4.120 3
527 misere(7,52) 4.120 2
550 misere(0,55) 4.130 4
452 misere(2,45) 4.130 4
509 misere(9,50) 4.130 2
480 misere(0,48) 4.130 1
404 misere(4,40) 4.130 4
421 misere(1,42) 4.140 3
492 misere(2,49) 4.140 1
474 misere(4,47) 4.140 1
557 misere(7,55) 4.140 0
552 misere(2,55) 4.140 2
433 misere(3,43) 4.150 3
435 misere(5,43) 4.150 2
585 misere(5,58) 4.160 3
520 misere(0,52) 4.160 4
590 misere(0,59) 4.160 2
579 misere(9,57) 4.170 3
571 misere(1,57) 4.180 1
559 misere(9,55) 4.180 2
445 misere(5,44) 4.180 4
525 misere(5,52) 4.180 3
390 misere(0,39) 4.180 3
204 misere(4,20) 4.190 1
546 misere(6,54) 4.190 1
583 misere(3,58) 4.190 1
582 misere(2,58) 4.190 4
494 misere(4,49) 4.190 3
514 misere(4,51) 4.190 4
532 misere(2,53) 4.200 4
470 misere(0,47) 4.210 3
588 misere(8,58) 4.210 4
567 misere(7,56) 4.210 3
560 misere(0,56) 4.210 1
447 misere(7,44) 4.210 2
524 misere(4,52) 4.220 5
519 misere(9,51) 4.230 3
479 misere(9,47) 4.240 2
424 misere(4,42) 4.250 1
430 misere(0,43) 4.260 1
594 misere(4,59) 4.260 4
434 misere(4,43) 4.270 4
540 misere(0,54) 4.280 2
575 misere(5,57) 4.280 4
